col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,photo_url
Andrej Acimovic,C,6-10,240,Indiana,Fr,"Mar 15, 2006",Bijeljina,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Acimovic_Andrej_iu25.jpg
Darius Adams,G,6-5,175,Maryland,Fr,-,Manasquan (NJ),La Lumiere School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Adams_Darius_md25.jpg
Sam Alexis,F,6-9,238,Indiana,Sr,"Oct 14, 2004",Apopka (FL),Apopka High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexis_Sam_chat22.jpg
Aleks Alston,C,6-10,204,Maryland,Fr,-,Chicago (IL),Kenwood Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alston_Aleks_md25.jpg
Markell Alston,G,6-1,185,UCLA,Fr,-,Queens (NY),Christ the King,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alston_Markell_ucla25.jpg
Alijah Arenas,F,6-6,195,USC,Fr,"Mar 16, 2007",Chatsworth (CA),Chatsworth High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Arenas_Alijah_hs25.jpg
Isaac Asuma,PG,6-3,196,Minnesota,So,-,Cherry (MN),Cherry School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Asuma_Isaac_mn24.jpg
Ezra Ausar,F,6-9,253,USC,Sr,"Feb 14, 2003",Snellville (GA),Liberty Heights Athletic Institute,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ausar_Ezra_ecu22.jpg
Denis Badalau,SF,6-8,200,Rutgers,Fr,"Jan 27, 2006",Giurgiu,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Badalau_Denis_euro24.jpg
Reed Bailey,F,6-10,232,Indiana,Sr,"Oct 2, 2002",Harvard (MA),Brewster Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bailey_Reed_dav22.jpg
Chad Baker-Mazara,F,6-7,172,USC,Sr,"Jan 27, 2000",Santo Domingo,SPIRE Sports Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Baker_Chad_duq20.jpg
Tavion Banks,GF,6-7,200,Iowa,Sr,"Apr 1, 2003",Kansas City (MO),Minnesota Preparatory Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Banks_Tavion_drake24.jpg
Cade Bennerman,C,7-0,205,Northwestern,Fr,-,Nashville (TN),Father Ryan High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bennerman_Cade_nu25.jpg
Jack Benter,G,6-5,190,Purdue,Fr,"Oct 20, 2005",Brownstown (IN),Brownstown Central High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Benter_Jack_pur24.jpg
Alex Bieliauskas,F,6-10,238,Wisconsin,Fr,"Dec 3, 2005",Kaunas,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bieliauskas_Aleksas_wisc25.jpg
Toni Bilic,F,6-8,N/A,Illinois,Fr,"Feb 9, 2005",Trogir,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/player_photo.jpg
Tyler Bilodeau,F,6-9,235,UCLA,Sr,"Apr 17, 2004",Kennewick (WA),Kennewick High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bilodeau_Tyler_22.jpg
Nate Bittle,C,7-0,210,Oregon,Sr,"Jun 3, 2003",Central Point (OR),Prolific Prep (CA),https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bittle_Nate_or21.jpg
John Blackwell,GF,6-4,203,Wisconsin,Jr,"Dec 25, 2004",Bloomfield (MI),Brother Rice High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Blackwell_John_wi23.jpg
Mason Blackwood,F,6-7,210,Penn State,Fr,-,Rochester (NY),New Hampton School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Blackwood_Mason_psu25.jpg
Nick Blake,G,6-2,175,Maryland,Fr,-,Orlando (FL),Olympia High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Blake_Nick_md25.jpg
Kendall Blue,G,6-6,195,Nebraska,Sr,-,Saint Paul (MN),East Ridge High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Blue_Kendall_st22.jpg
Justin Bolis,F,6-8,225,Nebraska,So,"Jun 10, 2005",Atlanta (GA),Lincoln High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bolis_Justin_neb24.jpg
Xavier Booker,C,6-11,245,UCLA,Jr,"Sep 9, 2004",Fishers (IN),Cathedral High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Booker_Xavier_michst23.jpg
Kylan Boswell,G,6-2,205,Illinois,Sr,"Apr 18, 2005",Urbana (IL),AZ Compass Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Boswell_Kylan_az22.jpg
Nick Boyd,G,6-3,177,Wisconsin,Sr,"Apr 23, 2001",Garnerville (NY),Don Bosco Preparatory High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Boyd_Nick_fau20.jpg
Jamar Brown,F,6-5,200,UCLA,Sr,"Aug 18, 2001",Chandler (AZ),Hamilton High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Jamar_umkc23.jpg
Jaden Brownell,F,6-10,235,USC,Sr,-,Sandy (UT),Alta High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brownell_Jaden_uic21.jpg
"Darren Buchanan, Jr.",G,6-7,235,Rutgers,Jr,-,Washington (DC),Jackson-Reed High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buchanan_Darren_vatech22.jpg
Brit Burden,F,6-7,210,USC,So,-,Piedmont (CA),Piedmont High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Burden_Brit_usc25.jpg
