,name,first_name,last_name,sport,team,position,jersey_number,face_image,stats
0,Churchill Abass,Churchill,Abass,NCAA,New Orleans Privateers,Center,9.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5175360.png&w=350&h=254,"{'height': '6-10', 'weight': 260.0, 'class': 'Jr', 'birth_date': 'Aug 21, 2004', 'nationality': 'Nigeria', 'birth_place': 'Benin City', 'hometown': 'Benin City, Nigeria', 'high_school': 'NBA Academy Africa', 'nba_status': 'Draft Eligible in 2027'}"
1,Obomate Abbey,Obomate,Abbey,NCAA,Utah Utes,Point Guard,21.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5311937.png&w=350&h=254,"{'height': '6-0', 'weight': 194.0, 'class': 'Fr', 'birth_date': 'May 24, 2006', 'nationality': 'Finland', 'birth_place': 'Jyvaskyla', 'hometown': 'Jyvaskyla, Finland', 'high_school': nan, 'nba_status': 'Draft Eligible in 2029'}"
2,Malek Abdelgowad,Malek,Abdelgowad,NCAA,Southern Jaguars,Center,8.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5176382.png&w=350&h=254,"{'height': '6-10', 'weight': 220.0, 'class': 'Sr', 'birth_date': '-', 'nationality': 'Egypt', 'birth_place': 'Cairo', 'hometown': 'Cairo, Egypt', 'high_school': nan, 'nba_status': 'Draft Eligible in 2026'}"
3,Azmar Abdullah,Azmar,Abdullah,NCAA,Boston University Terriers,Guard,7.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5242764.png&w=350&h=254,"{'height': '6-3', 'weight': 180.0, 'class': 'So', 'birth_date': '-', 'nationality': 'United States', 'birth_place': 'Warwick (RI)', 'hometown': 'Warwick, Rhode Island', 'high_school': 'Bishop Hendricken High School', 'nba_status': 'Draft Eligible in 2028'}"
4,Malik Abdullahi,Malik,Abdullahi,NCAA,Princeton Tigers,Forward,7.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5174791.png&w=350&h=254,"{'height': '6-7', 'weight': 207.0, 'class': 'So', 'birth_date': '-', 'nationality': 'United States', 'birth_place': 'Miami (FL)', 'hometown': 'Miami, Florida', 'high_school': 'Columbus High School', 'nba_status': 'Draft Eligible in 2028'}"
5,Bilal Abdur-Rahman,Bilal,Abdur-Rahman,NCAA,Alabama A&M Bulldogs,Guard,2.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5177520.png&w=350&h=254,"{'height': '5-11', 'weight': 160.0, 'class': 'So', 'birth_date': '-', 'nationality': 'United States', 'birth_place': 'Atlanta (GA)', 'hometown': 'Atlanta, Georgia', 'high_school': 'Norcross High School', 'nba_status': 'Draft Eligible in 2028'}"
6,Lorenzo Abellar,Lorenzo,Abellar,NCAA,Southern Utah Thunderbirds,Guard,4.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5241350.png&w=350&h=254,"{'height': '5-10', 'weight': 160.0, 'class': 'Sr', 'birth_date': '-', 'nationality': 'United States', 'birth_place': 'Henderson (NV)', 'hometown': 'Henderson, Nevada', 'high_school': 'Liberty High School', 'nba_status': 'Draft Eligible in 2026'}"
7,Ryan Abelman,Ryan,Abelman,NCAA,Northern Arizona Lumberjacks,Guard,11.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107851.png&w=350&h=254,"{'height': '6-4', 'weight': 200.0, 'class': 'Jr', 'birth_date': '-', 'nationality': 'United States', 'birth_place': 'Las Vegas (NV)', 'hometown': 'Las Vegas, Nevada', 'high_school': 'Bishop Gorman High School', 'nba_status': 'Draft Eligible in 2027'}"
8,Denzel Aberdeen,Denzel,Aberdeen,NCAA,Kentucky Wildcats,Guard,1.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105527.png&w=350&h=254,"{'height': '6-5', 'weight': 190.0, 'class': 'Sr', 'birth_date': 'Dec 26, 2003', 'nationality': 'United States', 'birth_place': 'Orlando (FL)', 'hometown': 'Orlando, Florida', 'high_school': 'Dr. Phillips High School', 'nba_status': 'Draft Eligible in 2026'}"
9,Isaac Abidde,Isaac,Abidde,NCAA,Albany Great Danes,Forward,5.0,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897200.png&w=350&h=254,"{'height': '6-9', 'weight': 215.0, 'class': 'Sr', 'birth_date': 'Apr 10, 2003', 'nationality': 'United States', 'birth_place': 'Albany (GA)', 'hometown': 'Albany, Georgia', 'high_school': 'Westover High School', 'nba_status': 'Draft Eligible in 2026'}"
