,name,logo_url,primary_color,card_color,text_color,sport
0, Abilene Christian  Wildcats, https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Abilene_Christian_University_seal.svg/330px-Abilene_Christian_University_seal.svg.png,#4F2170,#FFFFFF,#FFFFFF,NCAA
1,Alabama A&M Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Alabama_a%26m_bulldog_logo.png/250px-Alabama_a%26m_bulldog_logo.png,#FFFFFF,#660000,#660000,NCAA
2,Alabama State Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Alabama_State_Hornets_logo.svg/250px-Alabama_State_Hornets_logo.svg.png,#C99700,#000000,#000000,NCAA
3,Alcorn State Braves,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Alcorn_State_athletics_logo.svg/250px-Alcorn_State_athletics_logo.svg.png,#512D6D,#CC8A00,#CC8A00,NCAA
4,American University Eagles,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/American_Eagles_logo.svg/250px-American_Eagles_logo.svg.png,#005099,#C4122E,#FFFFFF,NCAA
5,Appalachian State Mountaineers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/250px-Appalachian_State_Mountaineers_logo.svg.png,#222222,#FFCC00,#FFCC00,NCAA
6,Arizona State Sun Devils,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Arizona_State_Sun_Devils_logo.svg/120px-Arizona_State_Sun_Devils_logo.svg.png,#7D2248,#FFC72C,#FFC72C,NCAA
7,Arkansas State Red Wolves,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Arkansas_State_Red_Wolves_logo.svg/250px-Arkansas_State_Red_Wolves_logo.svg.png,#CC092F,#000000,#000000,NCAA
8,Auburn Tigers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/250px-Auburn_Tigers_logo.svg.png,#F26522,#03244d,#03244d,NCAA
9,Austin Peay Governors,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Austin_Peay_Governors_logo.svg/250px-Austin_Peay_Governors_logo.svg.png,#C41E3A,#FFFFFF,#FFFFFF,NCAA
10,Ball State Cardinals,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Ball_State_Cardinals_logo.svg/250px-Ball_State_Cardinals_logo.svg.png,#BA0C2F,#FFFFFF,#FFFFFF,NCAA
11,Baylor Bears,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/250px-Baylor_Athletics_logo.svg.png,#FFB81C,#154734,#154734,NCAA
12,Bellarmine Knights,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Bellarmine_knights_logo20.png/250px-Bellarmine_knights_logo20.png,#CCCCCC,#660000,#660000,NCAA
13,Belmont Bruins,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Belmont_Bruins_logo.svg/250px-Belmont_Bruins_logo.svg.png,#C8102E,#FFFFFF,#00205B,NCAA
14,Bethune-Cookman Wildcats,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Bethune%E2%80%93Cookman_Wildcats_logo.svg/250px-Bethune%E2%80%93Cookman_Wildcats_logo.svg.png,#6F263D,#F2A900,#F2A900,NCAA
15,Boise State Broncos,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Primary_Boise_State_Broncos_Athletics_Logo.svg/250px-Primary_Boise_State_Broncos_Athletics_Logo.svg.png,#0033A0,#D64309,#D64309,NCAA
16,Boston College Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/250px-Boston_College_Eagles_logo.svg.png,#FFFFFF,#8C2232,#DBCCA6,NCAA
17,Boston University Terriers,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Boston_University_Terriers_logo.svg/250px-Boston_University_Terriers_logo.svg.png,#CC0000,#FFFFFF,#FFFFFF,NCAA
18,Bowling Green Falcons,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Bowling_Green_Falcons_logo.svg/250px-Bowling_Green_Falcons_logo.svg.png,#4F2C1D,#FF7300,#FF7300,NCAA
19,Bradley Braves,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bradley_Braves_logo.svg/250px-Bradley_Braves_logo.svg.png,#A50000,#FFFFFF,#FFFFFF,NCAA
20,BYU Cougars,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/BYU_Stretch_Y_Logo.png/250px-BYU_Stretch_Y_Logo.png,#003DA5,#FFFFFF,#FFFFFF,NCAA
21,Brown Bears,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Brown_Bears_Athletics_logo.svg/120px-Brown_Bears_Athletics_logo.svg.png,#C00404,#FFFFFF,#4E3629,NCAA
22,Bryant Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Bryant_Bulldogs_logo.svg/250px-Bryant_Bulldogs_logo.svg.png,#B09863,#231F20,#231F20,NCAA
23,Bucknell Bison,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Bucknell_Bison_logo.svg/250px-Bucknell_Bison_logo.svg.png,#003865,#EF5B0C,#EF5B0C,NCAA
24,Butler Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Butler_Bulldogs_logo.svg/250px-Butler_Bulldogs_logo.svg.png,#13294B,#FFFFFF,#FFFFFF,NCAA
25,Cal Baptist Lancers,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Cbu_lancers_logo.png/250px-Cbu_lancers_logo.png,#002554,#A07400,#A07400,NCAA
26,Cal Poly Mustangs,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Cal_Poly_Mustangs_logo.svg/250px-Cal_Poly_Mustangs_logo.svg.png,#B38F4F,#F8E08E,#154734,NCAA
27,Bakersfield Roadrunners,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Cal_State_Bakersfield_Roadrunners_logo.svg/250px-Cal_State_Bakersfield_Roadrunners_logo.svg.png,#FFC72C,#003594,#003594,NCAA
28,Fresno State Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Fresno_State_Bulldogs_logo.svg/250px-Fresno_State_Bulldogs_logo.svg.png,#13284C,#C41230,#C41230,NCAA
29,Cal State Fullerton Titans,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Cal_State_Fullerton_Titans_logo.svg/250px-Cal_State_Fullerton_Titans_logo.svg.png,#000000,#DCDCDC,#DCDCDC,NCAA
