 Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
1	Deborah Abiodun	ng NGA	MF	Washington Spirit	22-160	2003	4	2	127	1.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
2	Emeri Adames	us USA	MF	Reign	20-008	2006	5	3	260	2.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
3	Marie-Yasmine Alidou	ca CAN	MF	Portland Thorns	30-348	1995	5	4	349	3.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
4	Amanda Allen	ca CAN	FW	Boston Legacy	21-049	2005	3	0	32	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
5	Michelle Alozie	ng NGA	DF	Chicago Stars	28-348	1997	4	3	226	2.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
6	Angelina Anderson	us USA	GK	Angel City FC	25-020	2001	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
7	Hannah Anderson	us USA	DF	Orlando Pride	25-008	2001	5	2	220	2.4	1	0	1	1	0	0	0	0	0.41	0.00	0.41	0.41	0.41	Matches
8	Joelle Anderson	us USA	DF	Bay FC	27-187	1998	3	3	176	2.0	1	0	1	1	0	0	1	0	0.51	0.00	0.51	0.51	0.51	Matches
9	Andressa	br BRA	DF	Boston Legacy	26-252	1999	2	2	180	2.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
10	Angelina	br BRA	MF	Orlando Pride	26-075	2000	4	3	257	2.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
11	Laurel Ansbrow	us USA	DF	Boston Legacy	23-001	2003	3	2	204	2.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
12	Mackenzie Arnold	au AUS	GK	Portland Thorns	32-045	1994	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
13	Ary Borges	br BRA	MF	Angel City FC	26-104	1999	4	4	360	4.0	1	1	2	1	0	0	0	0	0.25	0.25	0.50	0.25	0.50	Matches
14	Kimmi Ascanio	us USA	MF	SD Wave	18-080	2008	5	3	328	3.6	0	1	1	0	0	0	0	0	0.00	0.27	0.27	0.00	0.27	Matches
15	Dorian Bailey	us USA	MF	Bay FC	29-073	1997	2	1	84	0.9	1	0	1	1	0	0	0	0	1.07	0.00	1.07	1.07	1.07	Matches
16	Elizabeth Ball	us USA	DF	Current	30-173	1995	3	2	193	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
17	Barbra Banda	zm ZAM	FW	Orlando Pride	26-022	2000	5	5	430	4.8	3	0	3	3	0	0	1	0	0.63	0.00	0.63	0.63	0.63	Matches
18	Melanie Barcenas	us USA	FW	SD Wave	18-163	2007	4	0	71	0.8	2	0	2	2	0	0	0	0	2.54	0.00	2.54	2.54	2.54	Matches
19	Keira Barry	eng ENG	MF	Bay FC	20-302	2005	4	2	189	2.1	1	0	1	1	0	0	2	0	0.48	0.00	0.48	0.48	0.48	Matches
20	Hannah Bebar	us USA	MF	Bay FC	24-218	2001	4	4	354	3.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
21	Maycee Bell	us USA	DF,MF	NC Courage	25-205	2000	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
22	Ann-Katrin Berger	de GER	GK	Gotham FC	35-184	1990	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
23	Malia Berkely	us USA	DF	Houston Dash	28-057	1998	4	4	350	3.9	0	0	0	0	0	1	0	0	0.00	0.00	0.00	0.00	0.00	Matches
24	Rebeca Bernal	mx MEX	MF	Washington Spirit	28-223	1997	5	5	414	4.6	1	0	1	1	0	0	0	0	0.22	0.00	0.22	0.22	0.22	Matches
25	Hannah Betfort	us USA	FW	NC Courage	27-097	1999	4	3	245	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
26	Croix Bethune	us USA	MF,FW	Current	25-028	2001	5	4	324	3.6	1	0	1	1	0	0	1	0	0.28	0.00	0.28	0.28	0.28	Matches
27	Jenna Bike	us USA	DF	Chicago Stars	28-068	1998	3	2	162	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
28	Macy Blackburn	us USA	DF	Racing Louisville	23-004	2003	2	0	7	0.1	1	0	1	1	0	0	0	0	12.86	0.00	12.86	12.86	12.86	Matches
29	Jordyn Bloomer	us USA	GK	Racing Louisville	28-179	1997	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
30	Tess Boade	us USA	FW,MF	Bay FC	27-067	1999	1	0	12	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
31	Lisa Boattin	it ITA	DF	Houston Dash	28-343	1997	1	0	5	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
32	Cassandra Bogere	no NOR	MF	Portland Thorns	20-290	2005	4	4	226	2.5	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
33	Kesley Branson		MF	Current			1	1	57	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
34	Messiah Bright	us USA	FW	Houston Dash	26-089	2000	3	1	108	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
35	Courtney Brown	us USA	MF	Royals	25-137	2000	4	0	96	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
36	Ryanne Brown	us USA	FW	Reign	27-080	1999	3	0	9	0.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
37	Jane Campbell	us USA	GK	Houston Dash	31-053	1995	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
38	Alba Caño	es ESP	MF	Boston Legacy	22-193	2003	4	4	323	3.6	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
39	Sofia Cantore	it ITA	FW	Washington Spirit	26-193	1999	5	4	293	3.3	1	0	1	1	0	0	0	0	0.31	0.00	0.31	0.31	0.31	Matches
