,first_name,last_name,pos,age,height,weight,team,from_city,from_school,photo_url
0,Andrej,Acimovic,C,20,6-10,240.0,Indiana Hoosiers,Bijeljina,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Acimovic_Andrej_iu25.jpg
2,Sam,Alexis,F,21,6-9,238.0,Indiana Hoosiers,Apopka (FL),Apopka High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Alexis_Sam_chat22.jpg
5,Alijah,Arenas,F,19,6-6,195.0,USC Trojans,Chatsworth (CA),Chatsworth High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Arenas_Alijah_hs25.jpg
7,Ezra,Ausar,F,23,6-9,253.0,USC Trojans,Snellville (GA),Liberty Heights Athletic Institute,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ausar_Ezra_ecu22.jpg
8,Denis,Badalau,SF,20,6-8,200.0,Rutgers Scarlet Knights,Giurgiu,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Badalau_Denis_euro24.jpg
9,Reed,Bailey,F,23,6-10,232.0,Indiana Hoosiers,Harvard (MA),Brewster Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bailey_Reed_dav22.jpg
10,Chad,Baker-Mazara,F,26,6-7,172.0,USC Trojans,Santo Domingo,SPIRE Sports Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Baker_Chad_duq20.jpg
11,Tavion,Banks,GF,23,6-7,200.0,Iowa Hawkeyes,Kansas City (MO),Minnesota Preparatory Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Banks_Tavion_drake24.jpg
13,Jack,Benter,G,20,6-5,190.0,Purdue Boilermakers,Brownstown (IN),Brownstown Central High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Benter_Jack_pur24.jpg
14,Alex,Bieliauskas,F,20,6-10,238.0,Wisconsin Badgers,Kaunas,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bieliauskas_Aleksas_wisc25.jpg
15,Toni,Bilic,F,21,6-8,,Illinois Fighting Illini,Trogir,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/player_photo.jpg
16,Tyler,Bilodeau,F,21,6-9,235.0,UCLA Bruins,Kennewick (WA),Kennewick High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bilodeau_Tyler_22.jpg
17,Nate,Bittle,C,22,7-0,210.0,Oregon Ducks,Central Point (OR),Prolific Prep (CA),https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bittle_Nate_or21.jpg
18,John,Blackwell,GF,21,6-4,203.0,Wisconsin Badgers,Bloomfield (MI),Brother Rice High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Blackwell_John_wi23.jpg
22,Justin,Bolis,F,20,6-8,225.0,Nebraska Cornhuskers,Atlanta (GA),Lincoln High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bolis_Justin_neb24.jpg
23,Xavier,Booker,C,21,6-11,245.0,UCLA Bruins,Fishers (IN),Cathedral High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Booker_Xavier_michst23.jpg
24,Kylan,Boswell,G,20,6-2,205.0,Illinois Fighting Illini,Urbana (IL),AZ Compass Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Boswell_Kylan_az22.jpg
25,Nick,Boyd,G,24,6-3,177.0,Wisconsin Badgers,Garnerville (NY),Don Bosco Preparatory High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Boyd_Nick_fau20.jpg
26,Jamar,Brown,F,24,6-5,200.0,UCLA Bruins,Chandler (AZ),Hamilton High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Jamar_umkc23.jpg
30,Raleigh,Burgess,C,20,6-10,225.0,Purdue Boilermakers,Cincinnati (OH),Sycamore High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Burgess_Raleigh_pur24.jpg
31,Nimari,Burnett,SG,24,6-5,200.0,Michigan Wolverines,Chicago (IL),Prolific Prep (CA),https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Burnett_Nimari_textech20.jpg
32,Henry,Burt,F,21,6-7,222.0,Nebraska Cornhuskers,Omaha (NE),Elkhorn South High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Burt_Henry_neb22.jpg
