name,photo_url
aj dybantsa,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5142718.png&w=350&h=254
jordan riley,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683942.png&w=350&h=254
darius acuff jr,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5142620.png&w=350&h=254
pj haggerty,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106275.png&w=350&h=254
daeshun ruffin,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432638.png&w=350&h=254
dominique daniels jr,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5178207.png&w=350&h=254
ebuka okorie,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5258459.png&w=350&h=254
nick martinelli,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105832.png&w=350&h=254
cameron boozer,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5041935.png&w=350&h=254
josh hubbard,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4895740.png&w=350&h=254
labaron philon jr,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873090.png&w=350&h=254
jack karasinski,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106735.png&w=350&h=254
jadin booth,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702680.png&w=350&h=254
juke harris,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5142609.png&w=350&h=254
michael james,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5314773.png&w=350&h=254
camren hunter,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897018.png&w=350&h=254
kamrin oriol,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5119069.png&w=350&h=254
