Team/School,Sport,League,Stadium,Capacity,City,State,lat,lon
Canucks,Hockey,AHL,Abbotsford Centre,7073,Abbotsford,BC,,
IronBirds,Baseball,South Atlantic League,Ripken Stadium,5800,Aberdeen,MD,39.5307569,-76.1863986
Northern State University,Basketball,,Wachs Arena,8000,Aberdeen,SD,,
Abilene Christian University,Football,,Wildcat Stadium,12000,Abilene,TX,32.4735139,-99.7090222
Abilene Christian University,Baseball,,Crutcher Scott Field,4000,Abilene,TX,32.4729337,-99.7069172
Abilene Christian University,Basketball,,Moody Coliseum,3600,Abilene,TX,32.4703536,-99.7092155
University of South Carolina - Aiken,Basketball,,Convocation Center,3600,Aiken,SC,33.5747883,-81.7739215
University of Akron,Football,,InfoCision Stadium,27881,Akron,OH,41.07251,-81.5084807
RubberDucks,Baseball,Eastern League,Canal Park,7630,Akron,OH,41.0781516,-81.5221776
University of Akron,Basketball,,James A. Rhodes Arena,5500,Akron,OH,41.0758937,-81.508645
Siena College,Basketball,,MVP Arena,15229,Albany,NY,42.6486276,-73.754719
University of Albany,Football,,Casey Stadium,8500,Albany,NY,42.6810496,-73.8278375
University of Albany,Basketball,,Broadview Center,3899,Albany,NY,42.6821683,-73.8282597
University of New Mexico,Football,,University Stadium,37440,Albuquerque,NM,35.0669629,-106.6282451
University of New Mexico,Basketball,,The Pit,15411,Albuquerque,NM,35.0667282,-106.6321991
Isotopes,Baseball,PCL,Isotopes Park,11124,Albuquerque,NM,35.0699329,-106.6289798
University of New Mexico,,Volleyball,Johnson Center,4800,Albuquerque,NM,35.083432,-106.6175943
Alcorn State University,Football,,Spinks-Casem Stadium,22500,Alcorn,MS,,
Alcorn State University,Basketball,,Davey L. Whitney HPER Complex,7000,Alcorn,MS,,
Americans,Hockey,ECHL,Credit Union of Texas Event Center,6200,Allen,TX,33.1274851,-96.654561
Grand Valley State University,Football,,Lubbers Stadium,10444,Allendale,MI,,
Grand Valley State University,Basketball,,GVSU Fieldhouse Arena,4200,Allendale,MI,,
Lehigh Valley Phantoms,Hockey,AHL,PPL Center,8420,Allentown,PA,40.6026696,-75.4728002
Lehigh Valley IronPigs,Baseball,IL,Coca-Cola Park,8089,Allentown,PA,40.6259296,-75.4525644
Muhlenberg College,Basketball,,Memorial Hall,3529,Allentown,PA,40.6019592,-75.4646591
High School Playoffs,Football,,Mansion Park Stadium,10400,Altoona,PA,40.4913941,-78.410324
Curve,Baseball,Eastern League,PNG Field,7210,Altoona,PA,,
Sod Poodles,Baseball,Texas League,Hodgetown,7000,Amarillo,TX,35.2056696,-101.8310091
Wranglers,Hockey,NAHL,Cal Farley Coliseum,4870,Amarillo,TX,,
Iowa State University,Football,,Jack Trice Stadium,61500,Ames,IA,42.0140048,-93.6357593
Iowa State University,Basketball,,Hilton Coliseum,14267,Ames,IA,42.0210001,-93.6347686
University of Massachusetts,Football,,McGuirk Alumni Stadium,17000,Amherst,MA,,
University of Massachusetts,Basketball,,Mullins Center,9493,Amherst,MA,42.3895203,-72.5334498
University at Buffalo,Football,,UB Stadium,30270,Amherst,NY,,
University at Buffalo,Basketball,,Alumni Arena,6783,Amherst,NY,,
Los Angeles Angels,Baseball,MLB,Angel Stadium,45447,Anaheim,CA,33.8002599,-117.8817426
Ducks,Hockey,NHL,Honda Center,17732,Anaheim,CA,33.8078316,-117.876534
Wooden Legacy,Basketball,,Anaheim Convention Center,7500,Anaheim,CA,33.8005839,-117.9208047
University of Alaska - Anchorage,Basketball,,Alaska Airlines Center,5600,Anchorage,AK,61.1885297,-149.814139
Glacier Pilots,Baseball,ABL,Mulcahy Stadium,3500,Anchorage,AK,,
Trine University,Basketball,,MTI Center,3500,Angola,IN,,
Navy,Football,,Navy-Marine Corps Memorial Stadium,34000,Annapolis,MD,38.9847567,-76.5070765
Navy,Basketball,,Alumni Hall,5710,Annapolis,MD,,
University of Michigan,Football,,Michigan Stadium,107601,Ann Arbor,MI,42.2658749,-83.7486841
University of Michigan,Basketball,,Crisler Center,12707,Ann Arbor,MI,42.2650414,-83.7466711
University of Michigan,Hockey,,Yost Ice Arena,5800,Ann Arbor,MI,42.2675777,-83.7410248
Wisconsin Timber Rattlers,Baseball,Midwest League,Fox Cities Stadium,5900,Appleton,WI,,
Henderson State University,Football,,Carpenter-Haygood Stadium,9600,Arkadelphia,AR,34.134651,-93.0633799
Dallas Cowboys,Football,NFL,AT&T Stadium,85000,Arlington,TX,32.7478503,-97.0928337
Renegades,Football,UFL,Choctaw Stadium,48411,Arlington,TX,32.7512975,-97.0825648
Texas Rangers,Baseball,MLB,Globe Life Field,40300,Arlington,TX,32.747642,-97.0841049
UT - Arlington,Basketball,,College Park Center,7000,Arlington,TX,32.730505,-97.108074
Southern Conference Tournament,Basketball,,Harrah’s Cherokee Center,6268,Asheville,NC,,
Tourists,Baseball,South Atlantic League,McCormick Field,4000,Asheville,NC,35.5872984,-82.5492173
University of Georgia,Football,,Sanford Stadium,93033,Athens,GA,33.9497855,-83.3732093
University of Georgia,Basketball,,Stegeman Coliseum,10523,Athens,GA,33.9427717,-83.3781357
Rock Lobsters,Hockey,FPHL,Akins Ford Arena,5500,Athens,GA,33.961205,-83.3710141
Ohio University,Football,,Peden Stadium,27000,Athens,OH,39.3211131,-82.1030251
Ohio University,Basketball,,Convocation Center,13080,Athens,OH,39.3232107,-82.1056749
Falcons,Football,NFL,Mercedes-Benz Stadium,75000,Atlanta,GA,33.7554123,-84.4008493
Georgia Tech University,Football,,Bobby Dodd Stadium,51913,Atlanta,GA,33.772476,-84.3929589
Braves,Baseball,MLB,Truist Park,41149,Atlanta,GA,33.890738,-84.4676163
Georgia State University,Football,,Central Parc Stadium,25000,Atlanta,GA,,
Hawks,Basketball,NBA,State Farm Arena,16888,Atlanta,GA,33.7573698,-84.3963848
SIAC Championship,Football,,Lakewood Stadium,10000,Atlanta,GA,33.7029402,-84.387584
Morehouse College,Football,,B.T. Harvey Stadium,9000,Atlanta,GA,33.7457281,-84.4162182
Georgia Tech University,Basketball,,McCamish Pavilion,8600,Atlanta,GA,33.7806025,-84.3927616
Georgia State University,Basketball,,GSU Convocation Center,7300,Atlanta,GA,,
Morehouse College,Basketball,,Forbes Arena,6000,Atlanta,GA,33.7486229,-84.4170887
Georgia State University,,Volleyball,Georgia State Sports Arena,3854,Atlanta,GA,,
MAAC Tournament,Basketball,,Boardwalk Hall,12000,Atlantic City,NJ,39.3547787,-74.4384325
Auburn University,Football,,Jordan-Hare Stadium,88043,Auburn,AL,32.6021616,-85.4891613
Auburn University,Basketball,,Neville Arena,9121,Auburn,AL,,
Auburn University,Baseball,,Plainsman Park,4096,Auburn,AL,32.5998863,-85.490239
High School Championship,Basketball,,Augusta Civic Center,6777,Augusta,ME,44.3425924,-69.7988986
Sussex County Miners,Baseball,Frontier League,Skylands Stadium,4200,Augusta,NJ,,
University of Texas,Football,,Darrell K. Royal-Texas Memorial Stadium,100119,Austin,TX,30.2838412,-97.7326229
Austin FC,Soccer,MLS,Q2 Stadium,20500,Austin,TX,,
University of Texas,Soccer,,Mike A. Myers Stadium and Soccer Field,20000,Austin,TX,,
University of Texas,Basketball,,Moody Center,10763,Austin,TX,30.2809367,-97.7306522
University of Texas,Baseball,,UFCU Disch-Falk Field,7373,Austin,TX,30.2801248,-97.7261524
University of Texas,,Volleyball,Gregory Gym,4000,Austin,TX,,
Lake Erie Crushers,Baseball,Frontier League,Mercy Health Stadium,4000,Avon,OH,41.4597894,-82.0611959
Azusa Pacific University,Basketball,,Felix Event Center,3500,Azusa,CA,34.1351361,-117.8955998
Bakersfield College,Football,,Bakersfield Memorial Stadium,20000,Bakersfield,CA,,
Condors,Hockey,AHL,Dignity Health Arena,8751,Bakersfield,CA,,
Ravens,Football,NFL,M&T Bank Stadium,71008,Baltimore,MD,39.2779734,-76.6226651
Orioles,Baseball,MLB,Oriole Park at Camden Yards,45971,Baltimore,MD,39.2837383,-76.6216056
CIAA Tournament,Basketball,,CFG Bank Arena,13000,Baltimore,MD,39.2886044,-76.6187088
Morgan State University,Football,,Hughes Stadium,10000,Baltimore,MD,39.343907,-76.5829284
Johns Hopkins University,Football,,Homewood Field,8500,Baltimore,MD,39.3334837,-76.6208715
Morgan State University,Basketball,,Hill Field House,4250,Baltimore,MD,39.3422775,-76.5850612
Coppin State University,Basketball,,Physical Education Complex,4100,Baltimore,MD,39.3144111,-76.6566809
High School Championship,Basketball,,Cross Insurance Center,5800,Bangor,ME,44.7891853,-68.7792351
Colts,Hockey,OHL,Sadlon Arena,4195,Barrie,ON,,
LSU,Football,,Tiger Stadium,102321,Baton Rouge,LA,30.4119772,-91.1838303
Southern University,Football,,A.W. Mumford Stadium,25500,Baton Rouge,LA,30.5220855,-91.1895606
LSU,Basketball,,Pete Maravich Assembly Center,13215,Baton Rouge,LA,30.4144753,-91.1844894
LSU,Baseball,,Alex Box Stadium,10326,Baton Rouge,LA,30.4066886,-91.1875487
Zydeco,Hockey,FPHL,Raising Cane’s River Center,8167,Baton Rouge,LA,30.4448425,-91.1890714
Southern University,Basketball,,F.G. Clark Activity Center,7500,Baton Rouge,LA,,
Lamar University,Football,,Provost Umphrey Stadium,16000,Beaumont,TX,30.0431471,-94.0698837
Lamar University,Basketball,,Neches Arena,10080,Beaumont,TX,,
Renegades,Indoor Football,NAL,Ford Arena,8500,Beaumont,TX,,
Lamar University,Baseball,,Vincent-Beck Stadium,3500,Beaumont,TX,30.034805,-94.0749741
High School Championship,Basketball,,Belgrade Special Events Center,4800,Belgrade,MT,,
Senators,Hockey,AHL,CAA Arena,4365,Belleville,ON,,
Bemidji State University,Hockey,,Sanford Center,4373,Bemidji,MN,47.4635224,-94.8533434
University of California,Football,,California Memorial Stadium,52428,Berkeley,CA,37.8709949,-122.2507361
University of California,Soccer,,Edwards Stadium,22000,Berkeley,CA,37.8690737,-122.264856
University of California,Basketball,,Haas Pavilion,11858,Berkeley,CA,37.8693905,-122.2622061
Lehigh University,Football,,Goodman Stadium,16000,Bethlehem,PA,40.5890498,-75.3562039
Lehigh University,Basketball,,Stabler Arena,5600,Bethlehem,PA,40.5852911,-75.3573984
Outlaws,Indoor Football,AF1,First Interstate Arena,8700,Billings,MT,,
Breakers,Hockey,FPHL,Mississippi Coast Coliseum,9150,Biloxi,MS,30.3943904,-88.9739883
Shuckers,Baseball,Southern League,Keesler Federal Park,5000,Biloxi,MS,,
Rumble Ponies,Baseball,Eastern League,Mirabito Stadium,6012,Binghamton,NY,42.103093,-75.904792
Black Bears,Hockey,FPHL,Visions Veterans Memorial Arena,4897,Binghamton,NY,42.0957335,-75.9131945
Magic City Classic,Football,,Legion Field,71594,Birmingham,AL,33.5114854,-86.8428269
UAB,Football,,Protective Stadium,42354,Birmingham,AL,33.5275724,-86.8090626
Miles College,Baseball,,Rickwood Field,10000,Birmingham,AL,33.5023557,-86.8558431
G,Basketball,League,Legacy Arena,17654,Birmingham,AL,33.5237958,-86.8128958
Barons,Baseball,Southern League,Regions Field,7017,Birmingham,AL,33.5075748,-86.8102529
UAB,Basketball,,Bartow Arena,8500,Birmingham,AL,33.502124,-86.8092439
Samford University,Basketball,,Pete Hanna Center,5000,Birmingham,AL,,
High School Playoffs,Basketball,,Bill Harris Arena,5000,Birmingham,AL,33.4948942,-86.8741784
High School Championship,Basketball,,Bismarck Event Center,10100,Bismarck,ND,46.8036448,-100.7838478
Virginia Tech University,Football,,Lane Stadium,65632,Blacksburg,VA,37.2198923,-80.4180039
Virginia Tech University,Basketball,,Cassell Coliseum,9265,Blacksburg,VA,37.222507,-80.4189121
Traverse City Pit Spitters,Baseball,Nwds Lg,Turtle Creek Stadium,3518,Blair Township,MI,44.6819577,-85.6602371
Bison,Hockey,ECHL,Grossinger Motors Arena,5667,Bloomington,IL,40.4781015,-88.9962912
Indiana University,Football,,Memorial Stadium,52626,Bloomington,IN,39.1808943,-86.525642
Indiana University,Basketball,,Assembly Hall,17222,Bloomington,IN,39.1791068,-86.5217668
Bluefield College,Football,,Mitchell Stadium,10000,Bluefield,WV,37.2507839,-81.2434898
Florida Atlantic University,Football,,Flagler Credit Union Stadium,29495,Boca Raton,FL,,
Gardner - Webb University,Football,,Spangler Stadium,8500,Boiling Springs,NC,35.2453675,-81.673554
Boise State University,Football,,Albertsons Stadium,32796,Boise,ID,43.6035562,-116.1957917
Boise State University,Basketball,,ExtraMile Arena,12480,Boise,ID,43.6035694,-116.1989476
Idaho Steelheads,Hockey,ECHL,Idaho Central Arena,5006,Boise,ID,43.6143679,-116.204407
Hawks,Baseball,Pioneer League,Memorial Stadium,3500,Boise,ID,,
Appalachian State University,Football,,Kidd Brewer Stadium,30000,Boone,NC,36.2114886,-81.6855717
Appalachian State University,Basketball,,Holmes Center,8325,Boone,NC,36.2107135,-81.675873
High School Playoffs,Basketball,,Boonville High School Gym,5650,Boonville,IN,,
Red Sox,Baseball,MLB,Fenway Park,37731,Boston,MA,42.3464614,-71.0970999
Harvard University,Football,,Harvard Stadium,30323,Boston,MA,42.366736,-71.1267325
Bruins,Hockey,NHL,TD Garden,17850,Boston,MA,42.3662986,-71.0621622
Boston University,Soccer,,Nickerson Field,9871,Boston,MA,42.3532848,-71.119302
Boston University,Hockey,,Agganis Arena,6150,Boston,MA,42.3522233,-71.11773
Northeastern University,Hockey,,Matthews Arena,4757,Boston,MA,,
University of Colorado,Football,,Folsom Field,51400,Boulder,CO,40.0093353,-105.2660699
University of Colorado,Basketball,,CU Events Center,11064,Boulder,CO,40.004687,-105.2606067
Chesapeake Baysox,Baseball,Eastern League,Prince George’s Stadium,10000,Bowie,MD,38.9455047,-76.7093649
Western Kentucky University,Football,,Houchens-Smith Stadium,22113,Bowling Green,KY,36.9847916,-86.4593318
Western Kentucky University,Basketball,,E.A. Diddle Arena,7523,Bowling Green,KY,,
Hot Rods,Baseball,South Atlantic League,Bowling Green Ballpark,4559,Bowling Green,KY,36.9965634,-86.4411755
Bowling Green State University,Football,,Doyt Perry Stadium,24000,Bowling Green,OH,41.3780256,-83.6224975
Bowling Green State University,Hockey,,Slater Family Ice Arena,5000,Bowling Green,OH,41.3790778,-83.6277335
Bowling Green State University,Basketball,,Stroh Center,4347,Bowling Green,OH,41.3753407,-83.6263122
Montana State University,Football,,Bobcat Stadium,17777,Bozeman,MT,45.6588891,-111.0493703
Montana State University,Basketball,,Worthington Arena,6772,Bozeman,MT,,
Marauders,Baseball,Florida State League,LECOM Park,8500,Bradenton,FL,27.4856535,-82.5703734
Steelheads,Hockey,OHL,CAA Centre,5000,Brampton,ON,,
Wheat Kings,Hockey,WHL,Keystone Centre,5102,Brandon,MB,,
Islanders,Hockey,AHL,Total Mortgage Arena,8412,Bridgeport,CT,41.1732352,-73.1868957
Chicago Stars FC,Soccer,NWSL,SeatGeak Stadium,20000,Bridgeview,IL,,
Somerset Patriots,Baseball,Eastern League,TD Bank Ballpark,6100,Bridgewater,NJ,40.5607364,-74.5531525
Blues,Baseball,NECBL,Muzzy Field,4900,Bristol,CT,41.6734182,-72.959941
The College at Brockport,Football,,Eunice Kennedy Shriver Stadium,11000,Brockport,NY,43.2064109,-77.9515629
Rox,Baseball,Frontier League,Campanelli Stadium,4750,Brockton,MA,42.0692731,-71.0424525
New York Yankees,Baseball,MLB,Yankee Stadium,47422,Bronx,NY,40.8295828,-73.9265212
South Dakota State University,Football,,Dana J. Dykhouse Stadium,19340,Brookings,SD,44.3210165,-96.780341
South Dakota State University,Basketball,,First Bank & Trust Arena,5000,Brookings,SD,44.3183356,-96.7791557
Cyclones,Baseball,South Atlantic League,Maimonides Park,7500,Brooklyn,NY,40.5743913,-73.9840186
Nets,Basketball,NBA,Barclays Center,17732,Brooklyn,NY,40.6825106,-73.9752519
