first_name,last_name,Nation,Pos,Team,Age,photo_url
Deborah,Abiodun,NGA,MF,Washington Spirit,22,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/91b542420acc43c6955b5f8a782b2adb
Emeri,Adames,USA,MF,Seattle Reign FC,20,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/aaf2552ae4c54dcfa1ec352db94d8b0f
Amanda,Allen,CAN,FW,Boston Legacy FC,21,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/a0afe0dd22bc4b4eb895446288d523c8
Michelle,Alozie,NGA,DF,Chicago Stars FC,28,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/8772001989134074a48629a1110d6b62
Angelina,Anderson,USA,GK,Angel City FC,25,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/e4c0dd7de1294525a9f1635b7e210792
Hannah,Anderson,USA,DF,Orlando Pride,25,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/ebfc177248a54a0e972527b41871071e
Joelle,Anderson,USA,DF,Bay FC,27,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/dd0a7a6f7ee5446e9ef8c0a20ed56e97
Laurel,Ansbrow,USA,DF,Boston Legacy FC,23,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/16b5740bf4ff4fe1ae57b082ef35b27a
Mackenzie,Arnold,AUS,GK,Portland Thorns FC,32,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/9ccd079f4b56432e8f21ede69aabddee
Kimmi,Ascanio,USA,MF,San Diego Wave FC,18,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/e8b4386d7df847f6a328dea38ddc55ce
Dorian,Bailey,USA,MF,Bay FC,29,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fa5ea5a9ad7d4694b932641bbe257de1
Elizabeth,Ball,USA,DF,Kansas City Current,30,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/810db7679a9d4660929f485ed49e1988
Barbra,Banda,ZAM,FW,Orlando Pride,26,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/0021a2896ee54ef191fb324dec97dd78
Melanie,Barcenas,USA,FW,San Diego Wave FC,18,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/ad9acd5fa5cf475a87d9a92b99e682fd
Keira,Barry,ENG,MF,Bay FC,20,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/dcc2564e748442b7a956fa4f8056ba87
Hannah,Bebar,USA,MF,Bay FC,24,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/300fc21c88214cf191d546d1cf81d8ec
Maycee,Bell,USA,"DF,MF",North Carolina Courage,25,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/55bd66bfbc3240c7acf59ca32209868c
Ann-Katrin,Berger,GER,GK,Gotham FC,35,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/b7b10520cd77421e97f225c988f93e57
Malia,Berkely,USA,DF,Houston Dash,28,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/907a57b1c41046b08063e94229484b5e
Rebeca,Bernal,MEX,MF,Washington Spirit,28,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/8d41be19ea664cb5976221bb3592293d
Hannah,Betfort,USA,FW,North Carolina Courage,27,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/93ab29167bcd49b1a9d06e29f2cfb3c2
Croix,Bethune,USA,"MF,FW",Kansas City Current,25,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/71105581a0a143b18ac92760cc09c609
Jenna,Bike,USA,DF,Chicago Stars FC,28,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/badbf997458d485caabfecfba5bb76f1
Macy,Blackburn,USA,DF,Racing Louisville FC,23,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3295626be24e453abe27e04c004ff97e
Jordyn,Bloomer,USA,GK,Racing Louisville FC,28,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3b960ea4fb40463695905d6c8a07383e
Tess,Boade,USA,"FW,MF",Bay FC,27,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/ad338528a3ad42769bc70668109da114
Lisa,Boattin,ITA,DF,Houston Dash,28,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/10b990f3432f4383891922232cca020a
Cassandra,Bogere,NOR,MF,Portland Thorns FC,20,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Messiah,Bright,USA,FW,Houston Dash,26,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/b0fe6c1df4fc4afeabe923ab23915632
Courtney,Brown,USA,MF,Utah Royals,25,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/22f45241df0547e691e8ba6db03aaf7c
Ryanne,Brown,USA,FW,Seattle Reign FC,27,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3bc373314f634a4aad24e6ecb5847dde
Jane,Campbell,USA,GK,Houston Dash,31,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/a508823d48c24d818a9b76c99106c143
Alba,Caño,ESP,MF,Boston Legacy FC,22,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/38925931e59c4bb6ac8e7965e81ab06d
Sofia,Cantore,ITA,FW,Washington Spirit,26,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3712c14ba05c4f4ba6bd42cae9406ec6
Jorelyn,Carabalí,COL,DF,Boston Legacy FC,28,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/5b3b23196eed4d9f900e4f3ab4d7113d
Gabrielle,Carle,CAN,DF,Washington Spirit,27,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/ebadefdb2cd142aa92580387d5fde3b8
Jess,Carter,ENG,DF,Gotham FC,28,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/68b02adc0cac4f9280733b42cd06ddc2
Kyra,Carusa,IRL,FW,Kansas City Current,30,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/afa88f0c0ec840f38096c040ebe83e08
Seven,Castain,USA,MF,Orlando Pride,21,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/3aea231c3bf74863a3f57017205ba14a
Deyna,Castellanos,VEN,"FW,MF",Portland Thorns FC,26,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/dc5b62503b254bc7b911b31b48969494
Sofía,Cedeño,USA,MF,Seattle Reign FC,19,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/c65f53172a64441da1827a457a29c250
Ivonne,Chacón,COL,FW,Chicago Stars FC,28,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/03ef0251e6f546d09c0a41a5c52ce7b0
Allysha,Chapman,CAN,DF,Houston Dash,37,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/7b95e77ca5184ed39abbd7481af81fee
Prisca,Chilufya,ZAM,FW,Angel City FC,26,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/44789b184b6840b7b707d62b996ad090
Danielle,Colaprico,USA,MF,Houston Dash,32,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/0bb3c16212754939b111d70c83644b8e
Sydney,Collins,CAN,DF,Bay FC,26,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/4ad3b3ad9d90407181d76c98bb47e17a
Aldana,Cometti,ARG,DF,Bay FC,30,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fallbacklogo.svg
Caroline,Conti,USA,FW,Bay FC,25,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/fc271855025e4ff3a5bb2ff67c569709
Sofia,Cook,USA,FW,Gotham FC,21,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/1ead938145124f4bb3f98cc655a262b8
Michelle,Cooper,USA,"MF,FW",Kansas City Current,23,https://images.nwslsoccer.com/image/private/t_w_120/prd/assets/widgets/players/6eb214e42ba44ea59f98afee41a268d0
